final_drop_id	enemy_id	enemy_source	source_id	元drop_id	敵の名前	is_boss	街ID	街名	dungeon_id	ダンジョン名	敵の役割	Lv	敵の型	属性	ドロップ区分	レアドロップ品	レアドロップ種別	排他カテゴリ	ドロップタイミング	ドロップ率(%)	初回確定入手	追加初回報酬	追加初回報酬種別	効果案＿改善後カイゼンゴ	結合元	排他チェック	1体1レア割当チェック	メモ	素材ID	素材カテゴリ	素材レア度	NPC売却価格	市場取引可	主用途	B案ロール	レシピ必要数方針
508	274	モンスターマスタ	229	229	星草スライム	0	7	魔導都市ルミナス	46	浮遊庭園	レア敵	131	魔法型	光	レアドロップ	星草スライムの刻印	刻印	印系	通常撃破時	0.8	NO			MP+129、MAG+43	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
509	274	モンスターマスタ	229	MAT0274	星草スライム	0	7	魔導都市ルミナス	46	浮遊庭園	レア敵	131	魔法型	光	素材ドロップ	上質な星草スライムの粘液	素材	素材系	通常撃破時	8	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0274	レア素材	R	1765	YES	魔法武器・装飾品	希少量産素材	3〜10個程度。高級武器の中核素材
510	275	モンスターマスタ	230	230	庭園の番人	0	7	魔導都市ルミナス	46	浮遊庭園	最深部候補	132	標準型	無	レアドロップ	庭園の番人の刻印	刻印	印系	通常撃破時	0.6	NO			HP+276、STR+21、DEF+21	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
511	275	モンスターマスタ	230	MAT0275	庭園の番人	0	7	魔導都市ルミナス	46	浮遊庭園	最深部候補	132	標準型	無	素材ドロップ	上質な庭園の番人の欠片	素材	素材系	通常撃破時	12	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0275	準レア素材	R	1935	YES	汎用武器	希少量産素材	3〜10個程度。高級武器の中核素材
512	276	ボスマスタ	396	MAT0276	風庭のグリフォン	1	7	魔導都市ルミナス	46	浮遊庭園	ボス	132	素早さ型	自然	素材初回報酬	風庭のグリフォンの刻印	素材	素材系	ボス初回撃破時	100	YES			レシピ解放キー・職業解放・称号用素材。初回撃破で1個だけ入手。量産素材にはしない。高難度レシピの鍵として使う。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	ボス/街最終ボスの初回撃破時に1個確定。再戦不可・量産不可の鍵素材。	MAT0276	討伐証素材	SR	0	NO	レシピ解放キー・職業解放・称号	レシピ鍵	原則1個まで。複数要求禁止
513	277	モンスターマスタ	231	231	星読みの亡霊	0	7	魔導都市ルミナス	47	星見の塔	雑魚	132	魔法型	光	レアドロップ	星読みの亡霊の刻印	刻印	印系	通常撃破時	1.2	NO			MP+111、MAG+37	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
514	277	モンスターマスタ	231	MAT0277	星読みの亡霊	0	7	魔導都市ルミナス	47	星見の塔	雑魚	132	魔法型	光	素材ドロップ	星読みの亡霊の聖片	素材	素材系	通常撃破時	35	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0277	通常素材	N	675	YES	魔法武器・装飾品	通常量産素材	10〜40個程度。基本武器の主素材
515	278	モンスターマスタ	232	232	塔の魔術師	0	7	魔導都市ルミナス	47	星見の塔	雑魚	133	魔法型	無	レアドロップ	塔の魔術師の刻印	刻印	印系	通常撃破時	1.2	NO			MP+111、MAG+37	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
516	278	モンスターマスタ	232	MAT0278	塔の魔術師	0	7	魔導都市ルミナス	47	星見の塔	雑魚	133	魔法型	無	素材ドロップ	塔の魔術師の魔核	素材	素材系	通常撃破時	35	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0278	通常素材	N	705	YES	魔法武器・装飾品	通常量産素材	10〜40個程度。基本武器の主素材
517	279	モンスターマスタ	233	233	星屑スライム	0	7	魔導都市ルミナス	47	星見の塔	やや強い	134	魔法型	光	レアドロップ	星屑スライムの刻印	刻印	印系	通常撃破時	1	NO			MP+120、MAG+40	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
518	279	モンスターマスタ	233	MAT0279	星屑スライム	0	7	魔導都市ルミナス	47	星見の塔	やや強い	134	魔法型	光	素材ドロップ	星屑スライムの粘液	素材	素材系	通常撃破時	28	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0279	通常素材	N+	970	YES	魔法武器・装飾品	中級量産素材	5〜20個程度。中級武器の補助素材
519	280	モンスターマスタ	234	234	天文ゴーレム	0	7	魔導都市ルミナス	47	星見の塔	レア敵	134	重装型	無	レアドロップ	天文ゴーレムの刻印	刻印	印系	通常撃破時	0.8	NO			HP+352、DEF+44、SPR+13	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
520	280	モンスターマスタ	234	MAT0280	天文ゴーレム	0	7	魔導都市ルミナス	47	星見の塔	レア敵	134	重装型	無	素材ドロップ	天文ゴーレムの鉱片	素材	素材系	通常撃破時	8	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0280	レア素材	R	1815	YES	汎用武器	希少量産素材	3〜10個程度。高級武器の中核素材
521	281	モンスターマスタ	235	235	塔の守護者	0	7	魔導都市ルミナス	47	星見の塔	最深部候補	135	重装型	無	レアドロップ	塔の守護者の刻印	刻印	印系	通常撃破時	0.6	NO			HP+376、DEF+47、SPR+14	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
522	281	モンスターマスタ	235	MAT0281	塔の守護者	0	7	魔導都市ルミナス	47	星見の塔	最深部候補	135	重装型	無	素材ドロップ	塔の守護者の欠片	素材	素材系	通常撃破時	12	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0281	準レア素材	R	1990	YES	汎用武器	希少量産素材	3〜10個程度。高級武器の中核素材
523	282	ボスマスタ	397	MAT0282	星見の占星術師ステラ	1	7	魔導都市ルミナス	47	星見の塔	ボス	135	魔法型	光	素材初回報酬	星見の占星術師ステラの刻印	素材	素材系	ボス初回撃破時	100	YES			レシピ解放キー・職業解放・称号用素材。初回撃破で1個だけ入手。量産素材にはしない。高難度レシピの鍵として使う。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	ボス/街最終ボスの初回撃破時に1個確定。再戦不可・量産不可の鍵素材。	MAT0282	討伐証素材	SR	0	NO	レシピ解放キー・職業解放・称号	レシピ鍵	原則1個まで。複数要求禁止
524	283	モンスターマスタ	236	236	雷球	0	7	魔導都市ルミナス	48	異界観測所	雑魚	135	標準型	雷	レアドロップ	雷球の印	印	印系	通常撃破時	1.2	NO			HP+162、STR+12、DEF+12	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
525	283	モンスターマスタ	236	MAT0283	雷球	0	7	魔導都市ルミナス	48	異界観測所	雑魚	135	標準型	雷	素材ドロップ	上質な雷球の雷石	素材	素材系	通常撃破時	35	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0283	通常素材	N	695	YES	魔法武器・装飾品	通常量産素材	10〜40個程度。基本武器の主素材
526	284	モンスターマスタ	237	237	発電スライム	0	7	魔導都市ルミナス	48	異界観測所	雑魚	136	耐久型	雷	レアドロップ	発電スライムの刻印	刻印	印系	通常撃破時	1.2	NO			HP+380、DEF+38	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
527	284	モンスターマスタ	237	MAT0284	発電スライム	0	7	魔導都市ルミナス	48	異界観測所	雑魚	136	耐久型	雷	素材ドロップ	上質な発電スライムの粘液	素材	素材系	通常撃破時	35	NO			防具用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0284	通常素材	N	725	YES	防具	通常量産素材	10〜40個程度。基本武器の主素材
528	285	モンスターマスタ	238	238	電磁兵	0	7	魔導都市ルミナス	48	異界観測所	やや強い	137	物理型	雷	レアドロップ	電磁兵の武器	武器	武器系	通常撃破時	1.5	NO			STR+246	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
529	285	モンスターマスタ	238	MAT0285	電磁兵	0	7	魔導都市ルミナス	48	異界観測所	やや強い	137	物理型	雷	素材ドロップ	上質な電磁兵の徽章	素材	素材系	通常撃破時	28	NO			武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0285	通常素材	N+	1000	YES	武器	中級量産素材	5〜20個程度。中級武器の補助素材
530	286	モンスターマスタ	239	239	地底技師の亡霊	0	7	魔導都市ルミナス	48	異界観測所	レア敵	137	アンデッド型	無	レアドロップ	地底技師の亡霊の刻印	刻印	印系	通常撃破時	0.8	NO			STR+45、SPR+20	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
531	286	モンスターマスタ	239	MAT0286	地底技師の亡霊	0	7	魔導都市ルミナス	48	異界観測所	レア敵	137	アンデッド型	無	素材ドロップ	上質な地底技師の亡霊の欠片	素材	素材系	通常撃破時	8	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0286	レア素材	R	1865	YES	汎用武器	希少量産素材	3〜10個程度。高級武器の中核素材
532	287	モンスターマスタ	240	240	発電所の守護機	0	7	魔導都市ルミナス	48	異界観測所	最深部候補	138	標準型	雷	レアドロップ	発電所の守護機の刻印	刻印	印系	通常撃破時	0.6	NO			HP+288、STR+22、DEF+22	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
533	287	モンスターマスタ	240	MAT0287	発電所の守護機	0	7	魔導都市ルミナス	48	異界観測所	最深部候補	138	標準型	雷	素材ドロップ	上質な発電所の守護機の雷石	素材	素材系	通常撃破時	12	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0287	準レア素材	R	2050	YES	魔法武器・装飾品	希少量産素材	3〜10個程度。高級武器の中核素材
534	288	ボスマスタ	398	MAT0288	異界の観測者オブザーバー	1	7	魔導都市ルミナス	48	異界観測所	ボス	138	バランス型	魔	素材初回報酬	異界の観測者オブザーバーの刻印	素材	素材系	ボス初回撃破時	100	YES			レシピ解放キー・職業解放・称号用素材。初回撃破で1個だけ入手。量産素材にはしない。高難度レシピの鍵として使う。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	ボス/街最終ボスの初回撃破時に1個確定。再戦不可・量産不可の鍵素材。	MAT0288	討伐証素材	SR	0	NO	レシピ解放キー・職業解放・称号	レシピ鍵	原則1個まで。複数要求禁止
535	289	モンスターマスタ	241	241	次元スライム	0	7	魔導都市ルミナス	49	次元回廊	雑魚	138	耐久型	無	レアドロップ	次元スライムの刻印	刻印	印系	通常撃破時	1.2	NO			HP+380、DEF+38	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
536	289	モンスターマスタ	241	MAT0289	次元スライム	0	7	魔導都市ルミナス	49	次元回廊	雑魚	138	耐久型	無	素材ドロップ	次元スライムの粘液	素材	素材系	通常撃破時	35	NO			防具用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0289	通常素材	N	710	YES	防具	通常量産素材	10〜40個程度。基本武器の主素材
537	290	モンスターマスタ	242	242	時空の影	0	7	魔導都市ルミナス	49	次元回廊	雑魚	138	標準型	無	レアドロップ	時空の影の印	印	印系	通常撃破時	1.2	NO			HP+168、STR+13、DEF+13	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
538	290	モンスターマスタ	242	MAT0290	時空の影	0	7	魔導都市ルミナス	49	次元回廊	雑魚	138	標準型	無	素材ドロップ	時空の影の黒結晶	素材	素材系	通常撃破時	35	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0290	通常素材	N	740	YES	汎用武器	通常量産素材	10〜40個程度。基本武器の主素材
539	291	モンスターマスタ	243	243	迷い人の亡霊	0	7	魔導都市ルミナス	49	次元回廊	やや強い	139	アンデッド型	無	レアドロップ	迷い人の亡霊の刻印	刻印	印系	通常撃破時	1	NO			STR+42、SPR+19	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
540	291	モンスターマスタ	243	MAT0291	迷い人の亡霊	0	7	魔導都市ルミナス	49	次元回廊	やや強い	139	アンデッド型	無	素材ドロップ	迷い人の亡霊の欠片	素材	素材系	通常撃破時	28	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0291	通常素材	N+	1015	YES	汎用武器	中級量産素材	5〜20個程度。中級武器の補助素材
541	292	モンスターマスタ	244	244	空間裂け目	0	7	魔導都市ルミナス	49	次元回廊	レア敵	140	標準型	無	レアドロップ	空間裂け目の刻印	刻印	印系	通常撃破時	0.8	NO			HP+276、STR+21、DEF+21	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
542	292	モンスターマスタ	244	MAT0292	空間裂け目	0	7	魔導都市ルミナス	49	次元回廊	レア敵	140	標準型	無	素材ドロップ	空間裂け目の欠片	素材	素材系	通常撃破時	8	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0292	レア素材	R	1925	YES	汎用武器	希少量産素材	3〜10個程度。高級武器の中核素材
543	293	モンスターマスタ	245	245	回廊の主	0	7	魔導都市ルミナス	49	次元回廊	ボス候補	140	標準型	無	レアドロップ	回廊の主の王印	王印	印系	通常撃破時	0.5	NO			HP+480、STR+36、DEF+36	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	ボス候補は実ボスではないため100%報酬にしない。通常敵扱いの低確率レアドロップ。								
544	293	モンスターマスタ	245	MAT0293	回廊の主	0	7	魔導都市ルミナス	49	次元回廊	ボス候補	140	標準型	無	素材ドロップ	回廊の主の欠片	素材	素材系	通常撃破時	12	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0293	通常素材	N	920	YES	汎用武器	通常量産素材	10〜40個程度。基本武器の主素材
545	294	ボスマスタ	399	448	次元竜クロノス	1	7	魔導都市ルミナス	49	次元回廊	ボス	140	耐久型	魔	街最終ボス撃破報酬	次元竜クロノスの王印	王印	印系	街最終ボス初回撃破時	100	YES			HP+880、DEF+88	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	各街の7番目ダンジョンの本ボスのみ、初回撃破時に100%入手。								
546	294	ボスマスタ	399	MAT0294	次元竜クロノス	1	7	魔導都市ルミナス	49	次元回廊	ボス	140	耐久型	魔	素材初回報酬	次元竜クロノスの王印	素材	素材系	ボス初回撃破時	100	YES			レシピ解放キー・職業解放・称号用素材。初回撃破で1個だけ入手。量産素材にはしない。高難度レシピの鍵として使う。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	ボス/街最終ボスの初回撃破時に1個確定。再戦不可・量産不可の鍵素材。	MAT0294	討伐証素材	SR	0	NO	レシピ解放キー・職業解放・称号	レシピ鍵	原則1個まで。複数要求禁止
547	295	モンスターマスタ	246	246	死霊兵	0	8	魔界都市ネクロム	50	死者の荒野	雑魚	140	アンデッド型	闇	レアドロップ	死霊兵の武器	武器	武器系	通常撃破時	2	NO			STR+252	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
548	295	モンスターマスタ	246	MAT0295	死霊兵	0	8	魔界都市ネクロム	50	死者の荒野	雑魚	140	アンデッド型	闇	素材ドロップ	死霊兵の徽章	素材	素材系	通常撃破時	35	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0295	通常素材	N	725	YES	魔法武器・装飾品	通常量産素材	10〜40個程度。基本武器の主素材
549	296	モンスターマスタ	247	247	黒骨犬	0	8	魔界都市ネクロム	50	死者の荒野	雑魚	141	アンデッド型	無	レアドロップ	黒骨犬の骨剣	武器	武器系	通常撃破時	2	NO			STR+254	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
550	296	モンスターマスタ	247	MAT0296	黒骨犬	0	8	魔界都市ネクロム	50	死者の荒野	雑魚	141	アンデッド型	無	素材ドロップ	黒骨犬の古骨	素材	素材系	通常撃破時	35	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0296	通常素材	N	760	YES	汎用武器	通常量産素材	10〜40個程度。基本武器の主素材
551	297	モンスターマスタ	248	248	荒野ゾンビ	0	8	魔界都市ネクロム	50	死者の荒野	やや強い	142	アンデッド型	無	レアドロップ	荒野ゾンビの刻印	刻印	印系	通常撃破時	1	NO			STR+42、SPR+19	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
552	297	モンスターマスタ	248	MAT0297	荒野ゾンビ	0	8	魔界都市ネクロム	50	死者の荒野	やや強い	142	アンデッド型	無	素材ドロップ	荒野ゾンビの腐布	素材	素材系	通常撃破時	28	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0297	通常素材	N+	1045	YES	汎用武器	中級量産素材	5〜20個程度。中級武器の補助素材
553	298	モンスターマスタ	249	249	魂喰い	0	8	魔界都市ネクロム	50	死者の荒野	レア敵	142	標準型	無	レアドロップ	魂喰いの刻印	刻印	印系	通常撃破時	0.8	NO			HP+276、STR+21、DEF+21	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
554	298	モンスターマスタ	249	MAT0298	魂喰い	0	8	魔界都市ネクロム	50	死者の荒野	レア敵	142	標準型	無	素材ドロップ	魂喰いの欠片	素材	素材系	通常撃破時	8	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0298	レア素材	R	1960	YES	汎用武器	希少量産素材	3〜10個程度。高級武器の中核素材
555	299	モンスターマスタ	250	250	死者の王	0	8	魔界都市ネクロム	50	死者の荒野	最深部候補	143	アンデッド型	闇	レアドロップ	死者の王の刻印	刻印	印系	通常撃破時	0.6	NO			STR+49、SPR+22	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
556	299	モンスターマスタ	250	MAT0299	死者の王	0	8	魔界都市ネクロム	50	死者の荒野	最深部候補	143	アンデッド型	闇	素材ドロップ	死者の王の徽章	素材	素材系	通常撃破時	12	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0299	準レア素材	R	2145	YES	魔法武器・装飾品	希少量産素材	3〜10個程度。高級武器の中核素材
557	300	ボスマスタ	400	MAT0300	死者の王ネクロロード	1	8	魔界都市ネクロム	50	死者の荒野	ボス	143	物理型	闇	素材初回報酬	死者の王ネクロロードの刻印	素材	素材系	ボス初回撃破時	100	YES			レシピ解放キー・職業解放・称号用素材。初回撃破で1個だけ入手。量産素材にはしない。高難度レシピの鍵として使う。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	ボス/街最終ボスの初回撃破時に1個確定。再戦不可・量産不可の鍵素材。	MAT0300	討伐証素材	SR	0	NO	レシピ解放キー・職業解放・称号	レシピ鍵	原則1個まで。複数要求禁止
558	301	モンスターマスタ	251	251	呪い騎士	0	8	魔界都市ネクロム	51	呪われた城	雑魚	143	アンデッド型	闇	レアドロップ	呪い騎士の剣	武器	武器系	通常撃破時	2	NO			STR+258	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
559	301	モンスターマスタ	251	MAT0301	呪い騎士	0	8	魔界都市ネクロム	51	呪われた城	雑魚	143	アンデッド型	闇	素材ドロップ	呪い騎士の徽章	素材	素材系	通常撃破時	35	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0301	通常素材	N	745	YES	魔法武器・装飾品	通常量産素材	10〜40個程度。基本武器の主素材
560	302	モンスターマスタ	252	252	吸血コウモリ	0	8	魔界都市ネクロム	51	呪われた城	雑魚	144	高速型	無	レアドロップ	吸血コウモリの羽飾り	装飾品	武器系	通常撃破時	2	NO			SPD+86、LUK+36	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
561	302	モンスターマスタ	252	MAT0302	吸血コウモリ	0	8	魔界都市ネクロム	51	呪われた城	雑魚	144	高速型	無	素材ドロップ	吸血コウモリの翼膜	素材	素材系	通常撃破時	35	NO			軽武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0302	通常素材	N	780	YES	軽武器・装飾品	通常量産素材	10〜40個程度。基本武器の主素材
562	303	モンスターマスタ	253	253	城の亡霊	0	8	魔界都市ネクロム	51	呪われた城	やや強い	145	アンデッド型	無	レアドロップ	城の亡霊の刻印	刻印	印系	通常撃破時	1	NO			STR+43、SPR+19	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
